Date,Close
1984-09-07,26.5
1984-09-10,26.37
1984-09-11,26.87
1984-09-12,26.12
1984-09-13,27.5
1984-09-14,27.87
1984-09-17,28.62
1984-09-18,27.62
1984-09-19,27.0
1984-09-20,27.12
1984-09-21,26.87
1984-09-24,26.62
1984-09-25,26.12
1984-09-26,25.75
1984-09-27,25.75
1984-09-28,25.12
1984-10-01,24.5
1984-10-02,24.75
1984-10-03,25.12
1984-10-04,25.37
1984-10-05,24.87
1984-10-08,24.87
1984-10-09,24.62
1984-10-10,23.87
1984-10-11,23.75
1984-10-12,22.75
1984-10-15,24.0
1984-10-16,23.87
1984-10-17,24.87
1984-10-18,25.62
1984-10-19,25.62
1984-10-22,25.37
1984-10-23,26.0
1984-10-24,26.25
1984-10-25,25.25
1984-10-26,24.62
1984-10-29,24.75
1984-10-30,25.0
1984-10-31,24.87
1984-11-01,25.0
1984-11-02,24.87
1984-11-05,24.75
1984-11-06,26.25
1984-11-07,25.75
1984-11-08,24.75
1984-11-09,23.25
1984-11-12,24.12
1984-11-13,23.5
1984-11-14,23.75
1984-11-15,23.75
1984-11-16,23.25
1984-11-19,21.87
1984-11-20,22.62
1984-11-21,23.12
1984-11-23,23.75
1984-11-26,24.0
1984-11-27,24.62
1984-11-28,25.87
1984-11-29,25.37
1984-11-30,24.75
1984-12-03,24.37
1984-12-04,24.87
1984-12-05,26.12
1984-12-06,27.37
1984-12-07,27.25
1984-12-10,26.75
1984-12-11,26.37
1984-12-12,25.5
1984-12-13,25.75
1984-12-14,26.37
1984-12-17,27.0
1984-12-18,28.62
1984-12-19,27.5
1984-12-20,27.37
1984-12-21,27.0
1984-12-24,27.5
1984-12-26,27.62
1984-12-27,27.75
1984-12-28,28.75
1984-12-31,29.12
1985-01-02,27.87
1985-01-03,28.37
1985-01-04,28.37
1985-01-07,28.25
1985-01-08,28.0
1985-01-09,28.75
1985-01-10,30.0
1985-01-11,29.75
1985-01-14,30.62
1985-01-15,30.0
1985-01-16,30.25
1985-01-17,28.12
1985-01-18,28.62
1985-01-21,29.25
1985-01-22,30.12
1985-01-23,29.62
1985-01-24,29.0
1985-01-25,29.62
1985-01-28,30.25
1985-01-29,29.87
1985-01-30,29.87
1985-01-31,29.0
1985-02-01,28.62
1985-02-04,29.25
1985-02-05,29.5
1985-02-06,30.0
1985-02-07,29.87
1985-02-08,29.87
1985-02-11,30.5
1985-02-12,29.75
1985-02-13,28.37
1985-02-14,27.62
1985-02-15,28.0
1985-02-19,27.62
1985-02-20,26.37
1985-02-21,26.87
1985-02-22,27.62
1985-02-25,27.25
1985-02-26,26.75
1985-02-27,25.12
1985-02-28,24.75
1985-03-01,24.87
1985-03-04,25.25
1985-03-05,25.87
1985-03-06,24.62
1985-03-07,22.12
1985-03-08,21.5
1985-03-11,22.25
1985-03-12,23.0
1985-03-13,21.75
1985-03-14,21.75
1985-03-15,22.62
1985-03-18,22.87
1985-03-19,22.0
1985-03-20,22.25
1985-03-21,22.62
1985-03-22,22.25
1985-03-25,21.62
1985-03-26,22.5
1985-03-27,21.87
1985-03-28,21.87
1985-03-29,22.12
1985-04-01,21.62
1985-04-02,21.0
1985-04-03,21.0
1985-04-04,20.87
1985-04-08,19.62
1985-04-09,19.62
1985-04-10,21.0
1985-04-11,21.37
1985-04-12,20.87
1985-04-15,21.37
1985-04-16,21.62
1985-04-17,22.62
1985-04-18,22.87
1985-04-19,22.5
1985-04-22,21.62
1985-04-23,22.12
1985-04-24,22.0
1985-04-25,22.0
1985-04-26,21.87
1985-04-29,21.12
1985-04-30,21.25
1985-05-01,20.87
1985-05-02,19.25
1985-05-03,20.0
1985-05-06,19.75
1985-05-07,20.0
1985-05-08,19.87
1985-05-09,20.0
1985-05-10,20.25
1985-05-13,20.0
1985-05-14,19.75
1985-05-15,20.0
1985-05-16,21.37
1985-05-17,21.75
1985-05-20,21.37
1985-05-21,20.75
1985-05-22,20.62
1985-05-23,19.75
1985-05-24,18.12
1985-05-28,16.87
1985-05-29,17.12
1985-05-30,17.62
1985-05-31,17.37
1985-06-03,16.0
1985-06-04,17.25
1985-06-05,16.87
1985-06-06,17.0
1985-06-07,16.37
1985-06-10,16.12
1985-06-11,16.12
1985-06-12,15.75
1985-06-13,14.88
1985-06-14,14.75
1985-06-17,14.88
1985-06-18,15.25
1985-06-19,15.63
1985-06-20,15.75
1985-06-21,16.12
1985-06-24,17.25
1985-06-25,17.5
1985-06-26,18.12
1985-06-27,18.37
1985-06-28,18.0
1985-07-01,18.12
1985-07-02,17.25
1985-07-03,17.5
1985-07-05,17.62
1985-07-08,17.62
1985-07-09,17.62
1985-07-10,18.0
1985-07-11,18.0
1985-07-12,17.87
1985-07-15,17.75
1985-07-16,17.5
1985-07-17,17.62
1985-07-18,17.25
1985-07-19,17.37
1985-07-22,16.87
1985-07-23,16.5
1985-07-24,16.25
1985-07-25,16.62
1985-07-26,16.62
1985-07-29,16.0
1985-07-30,16.25
1985-07-31,15.88
1985-08-01,15.88
1985-08-02,15.75
