Date,Open,High,Low,Close,Volume,MA5,MA20,MA60
1984-09-07,26.5,26.87,26.25,26.5,2981600.0,,,
1984-09-10,26.5,26.62,25.87,26.37,2346400.0,,,
1984-09-11,26.62,27.37,26.62,26.87,5444000.0,,,
1984-09-12,26.87,27.0,26.12,26.12,4773600.0,,,
1984-09-13,27.5,27.62,27.5,27.5,7429600.0,26.672000000000004,,
1984-09-14,27.62,28.5,27.62,27.87,8826400.0,26.946000000000005,,
1984-09-17,28.62,29.0,28.62,28.62,6886400.0,27.395999999999997,,
1984-09-18,28.62,28.87,27.62,27.62,3495200.0,27.546,,
1984-09-19,27.62,27.87,27.0,27.0,3816000.0,27.722,,
1984-09-20,27.12,27.37,27.12,27.12,2387200.0,27.646000000000004,,
1984-09-21,27.12,27.87,26.5,26.87,3591200.0,27.446000000000005,,
1984-09-24,26.87,27.0,26.62,26.62,2833600.0,27.046,,
1984-09-25,26.5,26.5,26.12,26.12,5977600.0,26.746,,
1984-09-26,26.12,27.25,25.75,25.75,3987200.0,26.496,,
1984-09-27,25.75,25.87,25.75,25.75,3796000.0,26.222,,
1984-09-28,25.75,25.75,24.62,25.12,8344800.0,25.872000000000003,,
1984-10-01,25.0,25.0,24.5,24.5,3521600.0,25.448,,
1984-10-02,24.75,25.62,24.75,24.75,4258400.0,25.174,,
1984-10-03,25.12,25.5,25.12,25.12,4335200.0,25.048000000000002,,
1984-10-04,25.37,25.62,25.37,25.37,4482400.0,24.972,26.378000000000004,
1984-10-05,25.37,25.37,24.75,24.87,3510400.0,24.922000000000004,26.2965,
1984-10-08,24.87,25.0,24.87,24.87,1721600.0,24.996000000000002,26.221500000000002,
1984-10-09,24.87,25.0,24.62,24.62,4515200.0,24.970000000000002,26.109,
1984-10-10,24.62,24.62,23.87,23.87,13070400.0,24.720000000000002,25.996499999999997,
1984-10-11,23.87,24.5,23.75,23.75,6553600.0,24.396,25.808999999999997,
1984-10-12,23.75,23.87,22.5,22.75,9522400.0,23.972,25.553,
1984-10-15,24.0,24.25,24.0,24.0,8715200.0,23.798000000000002,25.322,
1984-10-16,24.0,24.12,23.87,23.87,4246400.0,23.648000000000003,25.1345,
1984-10-17,24.87,25.0,24.87,24.87,5636000.0,23.848,25.028,
1984-10-18,25.62,25.75,25.62,25.62,8842400.0,24.222,24.953,
1984-10-19,25.62,27.37,25.5,25.62,11673600.0,24.796,24.890500000000003,
1984-10-22,25.62,26.0,25.37,25.37,4108800.0,25.07,24.828000000000003,
1984-10-23,26.0,26.25,26.0,26.0,6668800.0,25.496,24.822000000000003,
1984-10-24,26.25,26.5,26.25,26.25,5989600.0,25.772000000000002,24.847,
1984-10-25,26.25,26.25,25.25,25.25,5676000.0,25.698,24.822000000000003,
1984-10-26,25.25,25.25,24.5,24.62,4113600.0,25.497999999999998,24.797000000000004,
1984-10-29,24.75,24.87,24.75,24.75,1836000.0,25.374000000000002,24.809500000000003,
1984-10-30,25.0,25.25,25.0,25.0,2677600.0,25.174,24.822000000000003,
1984-10-31,25.0,25.25,24.87,24.87,2191200.0,24.898000000000003,24.809500000000003,
1984-11-01,25.0,25.25,25.0,25.0,1680000.0,24.848000000000003,24.791000000000004,
1984-11-02,25.0,25.12,24.75,24.87,1004800.0,24.898000000000003,24.791,
1984-11-05,24.87,25.37,24.75,24.75,3764800.0,24.898000000000003,24.785,
1984-11-06,26.25,26.37,26.25,26.25,8073600.0,25.148000000000003,24.8665,
1984-11-07,26.25,26.37,25.75,25.75,8286400.0,25.324,24.9605,
1984-11-08,25.75,25.75,24.75,24.75,3162400.0,25.274,25.0105,
1984-11-09,24.75,24.87,23.0,23.25,10518400.0,24.95,25.0355,
1984-11-12,24.12,24.25,24.12,24.12,4070400.0,24.824,25.0415,
1984-11-13,24.12,24.62,23.5,23.5,4548800.0,24.274,25.023,
1984-11-14,23.75,24.0,23.75,23.75,3752800.0,23.874000000000002,24.967,
1984-11-15,23.75,24.0,23.75,23.75,3833600.0,23.674,24.8735,
1984-11-16,23.75,24.12,23.12,23.25,5920000.0,23.674,24.755,
1984-11-19,23.25,23.37,21.87,21.87,8321600.0,23.223999999999997,24.58,
1984-11-20,22.62,22.75,22.62,22.62,9424800.0,23.048000000000002,24.410999999999998,
1984-11-21,23.12,23.25,23.12,23.12,6418400.0,22.922000000000004,24.2545,
1984-11-23,23.37,24.12,23.37,23.75,4904800.0,22.922000000000004,24.179499999999997,
1984-11-26,24.0,24.0,24.0,24.0,3636000.0,23.072000000000003,24.1485,
1984-11-27,24.62,24.87,24.62,24.62,4590400.0,23.622000000000003,24.142,
1984-11-28,25.87,26.5,25.87,25.87,14673600.0,24.272,24.185499999999998,
1984-11-29,25.87,25.87,25.37,25.37,6248800.0,24.722,24.210500000000003,
1984-11-30,25.37,25.62,24.62,24.75,3906400.0,24.922,24.198,25.122333333333337
1984-12-03,24.75,24.87,24.37,24.37,3533600.0,24.996000000000002,24.173000000000002,25.086833333333335
1984-12-04,24.87,25.37,24.87,24.87,4332800.0,25.046000000000003,24.179000000000002,25.061833333333333
1984-12-05,26.12,26.12,26.12,26.12,9406400.0,25.096,24.172500000000003,25.049333333333333
1984-12-06,27.37,27.5,27.37,27.37,11360000.0,25.496000000000002,24.253500000000003,25.07016666666667
1984-12-07,27.37,28.37,27.12,27.25,17696000.0,25.996000000000002,24.378500000000003,25.066
1984-12-10,27.25,27.25,26.75,26.75,4016000.0,26.472,24.553500000000003,25.04733333333333
1984-12-11,26.75,27.12,26.37,26.37,4432800.0,26.772,24.666000000000004,25.009833333333336
1984-12-12,26.37,26.37,25.5,25.5,3937600.0,26.648000000000003,24.766000000000002,24.9745
1984-12-13,25.75,26.25,25.75,25.75,2424800.0,26.324,24.866000000000003,24.953666666666667
1984-12-14,25.75,26.62,25.75,26.37,3475200.0,26.148000000000003,24.997000000000003,24.941166666666668
1984-12-17,27.0,27.25,27.0,27.0,4513600.0,26.198,25.184500000000003,24.94333333333333
1984-12-18,28.62,28.75,28.62,28.62,12164800.0,26.648000000000003,25.522000000000002,24.97666666666667
1984-12-19,28.62,28.75,27.5,27.5,11372800.0,27.048000000000002,25.766000000000002,24.999666666666666
1984-12-20,27.5,28.0,27.37,27.37,5013600.0,27.372000000000003,25.978500000000004,25.026666666666664
1984-12-21,27.37,27.5,26.75,27.0,4438400.0,27.498,26.141000000000002,25.0475
1984-12-24,27.5,27.62,27.5,27.5,2418400.0,27.598000000000003,26.316000000000003,25.08716666666667
1984-12-26,27.62,27.87,27.62,27.62,2444000.0,27.398000000000003,26.466,25.139166666666668
1984-12-27,27.75,27.87,27.75,27.75,3531200.0,27.448,26.560000000000002,25.18916666666667
